序号,单词,来源,释义,词源,例句
1,radiate,必考词 Unit 1,v. 发出，发射出；发散，显露出,源自拉丁语radius(射线)，意为发散、辐射。,"1. The sun radiates heat and light.（太阳辐射出热量和光线。）
2. She radiates confidence whenever she speaks.（她每次说话时都流露出自信。）
3. Pain radiated from his shoulder down his arm.（疼痛从他的肩膀一直蔓延到手臂。）"
2,radiant,必考词 Unit 1,adj. 发光的，辐射的，照耀的；容光焕发的；满面春风的，极漂亮的,源自拉丁语radians，意为发光的、容光焕发的。,"1. The bride looked radiant on her wedding day.（新娘在婚礼当天看起来容光焕发。）
2. The room was filled with radiant warmth.（房间里充满了温暖的光芒。）
3. She gave him a radiant smile.（她给了他一个灿烂的微笑。）"
3,radical,必考词 Unit 1,"adj. 根本的，基本的；彻底的；过激的；激进的
n. 激进分子",源自拉丁语radix(根)，意为根本的、彻底的或激进的。,"1. The company needs to make radical changes to survive.（公司需要进行彻底的变革才能生存。）
2. He has some very radical political views.（他有一些非常激进的政治观点。）
3. There has been a radical improvement in his health.（他的健康状况有了根本性的改善。）"
4,object,必考词 Unit 1,"n. 物体，实物；（情感、思想和行动的）对象，客体；目的，宗旨；（语）宾语
v. 反对，不赞成",源自拉丁语ob-(对着)和jacere(扔)，意为扔在面前的东西，即物体；动词意为反对。,"1. A strange object was found in the garden.（花园里发现了一个奇怪的物体。）
2. I object to your unfair treatment of the staff.（我反对你对员工的不公平对待。）
3. The object of the game is to score as many points as possible.（这个游戏的目标是尽可能多得分。）"
5,objective,必考词 Unit 1,"adj. 客观的，如实的，无偏见的
n. 目的，宗旨",源自object，意为客观的，或作为名词指目标。,"1. We need to be objective when evaluating the evidence.（我们在评估证据时需要保持客观。）
2. The main objective of this project is to reduce costs.（这个项目的主要目标是降低成本。）
3. His analysis was purely objective.（他的分析是纯粹客观的。）"
6,objection,必考词 Unit 1,n. 反对，异议,源自object的名词形式，意为反对意见。,"1. Do you have any objection to the plan?（你对这个计划有什么反对意见吗？）
2. He raised a strong objection to the proposal.（他对该提议提出了强烈的反对。）
3. There is no legal objection to his request.（他的请求在法律上没有异议。）"
7,obvious,必考词 Unit 1,"adj. 明显的, 显而易见的; 平淡无奇的, 不必要的",源自拉丁语ob-(在前面)和via(路)，意为挡在路上的，即显而易见的。,"1. It is obvious that he is lying.（很明显他在撒谎。）
2. The answer to the question was quite obvious.（这个问题的答案显而易见。）
3. There is no obvious reason for his sudden departure.（他突然离开没有明显的原因。）"
8,ideal,必考词 Unit 1,"adj. 理想的，完美的；空想的，理想主义的，想象的
n. 理想",源自希腊语idea(形式、理念)，意为完美的、理想的。,"1. This is the ideal place for a picnic.（这是野餐的理想地点。）
2. He is my ideal of a perfect leader.（他是我心目中完美领导者的典范。）
3. The weather is ideal for outdoor activities.（天气非常适合户外活动。）"
9,ideology,必考词 Unit 1,n. 思想意识，观念形态，思想方式，思想体系,由idea(理念)和-logy(学科)组成，意为意识形态。,"1. The two parties have very different political ideologies.（这两个政党有着截然不同的政治意识形态。）
2. The book explores the ideology behind the movement.（这本书探讨了该运动背后的意识形态。）
3. He is deeply committed to his ideology.（他坚定地信奉自己的意识形态。）"
10,identical,必考词 Unit 1,adj. 同一的；完全相同的，一模一样的,源自拉丁语idem(相同)，意为完全相同的。,"1. The two brothers are identical twins.（这对兄弟是同卵双胞胎。）
2. We have identical views on this matter.（我们在这个问题上有完全相同的看法。）
3. The results were identical to those of the previous study.（结果与之前的研究完全相同。）"
11,identification,必考词 Unit 1,"n. 识别, 鉴别, 确认; 身份证明",源自identify的名词形式，意为身份证明或识别。,"1. You need to show some form of identification to enter.（你需要出示某种身份证明才能进入。）
2. The identification of the suspect was made by a witness.（嫌疑人是由目击者辨认出来的。）
3. The identification of the problem is the first step to solving it.（识别问题是解决问题的第一步。）"
12,identify,必考词 Unit 1,v. 认为……等同于，使等同于；识别，鉴别，确认，认出,源自拉丁语idem(相同)和facere(做)，意为确认某物与某物相同，即识别。,"1. Can you identify the person in this photo?（你能认出照片里的人吗？）
2. The police are trying to identify the cause of the accident.（警方正在努力查明事故原因。）
3. Many people identify success with wealth.（许多人把成功等同于财富。）"
13,identity,必考词 Unit 1,n. 相同性，一致(性)；本身，本体；身份,源自拉丁语identitas，意为同一性、身份。,"1. The police are keeping the witness's identity secret.（警方对目击者的身份保密。）
2. He is struggling with his cultural identity.（他正在为自己的文化认同感而挣扎。）
3. The identity of the thief remains unknown.（小偷的身份仍然未知。）"
14,journal,必考词 Unit 1,n. 尤指某学科或专业的定期刊物，杂志，报纸；日志，日记,源自拉丁语diurnalis(每日的)，原指日报，后指期刊或日志。,"1. She keeps a daily journal of her thoughts.（她每天写日记记录自己的想法。）
2. The article was published in a scientific journal.（这篇文章发表在一本科学期刊上。）
3. He has been a journalist for over twenty years.（他做记者已经二十多年了。）"
15,journalist,必考词 Unit 1,n. 记者，新闻工作者,源自journal(期刊/日志)加后缀-ist(人)，意为新闻工作者。,"1. The journalist interviewed the president.（那位记者采访了总统。）
2. She works as a freelance journalist.（她是一名自由撰稿记者。）
3. Journalists have a duty to report the truth.（记者有责任报道真相。）"
16,journey,必考词 Unit 1,"n. 旅行，旅程
vi. 旅行",源自古法语journee(一日的路程)，现泛指旅程。,"1. It was a long and difficult journey across the mountains.（那是一段漫长而艰难的翻山越岭之旅。）
2. Life is a journey, not a destination.（人生是一场旅程，而非终点。）
3. They enjoyed their journey through Europe.（他们很享受在欧洲的旅程。）"
17,judge,必考词 Unit 1,"n. 法官，审判员；裁判员，评判员；鉴赏家
v. 审判，判决；评定，裁判；断定，判断",源自拉丁语judex(法官)，意为审判或判断。,"1. Don't judge a book by its cover.（不要以貌取人（不要通过封面判断一本书）。）
2. The judge sentenced him to five years in prison.（法官判处他五年监禁。）
3. It is hard to judge who is right in this situation.（在这种情况下很难判断谁是对的。）"
18,judgment/judgement,必考词 Unit 1,n. 审判；判断力，识别，看法,源自judge的名词形式，意为判断、评价或判决。,"1. In my judgment, this is the best solution.（依我之见，这是最好的解决方案。）
2. He showed poor judgment in choosing his friends.（他在选择朋友方面表现出了糟糕的判断力。）
3. The final judgment will be delivered tomorrow.（最终判决将于明天宣布。）"
19,judicial,必考词 Unit 1,adj. 法庭的，司法的，审判的；公正的，明断的,源自拉丁语 iudicialis，词根 iudex（法官），意为与法官或审判相关的。,"1. The judicial system must be independent.（司法系统必须保持独立。）
2. He made a judicial decision on the case.（他就该案件做出了司法裁决。）
3. The court has judicial power to interpret laws.（法院拥有解释法律的司法权力。）"
20,jury,必考词 Unit 1,n. 陪审团，全体陪审员；(竞赛的)评判委员会，裁判委员会,源自古法语 juree，意为宣誓，指一群宣誓要公正裁决的陪审员。,"1. The jury reached a unanimous verdict.（陪审团达成了一致裁决。）
2. He was selected to serve on the jury.（他被选中担任陪审员。）
3. The jury found the defendant not guilty.（陪审团裁定被告无罪。）"
21,jurisdiction,必考词 Unit 1,n. 司法权，审判权，管辖权；管辖区域，管辖范围,由 iuris（法律）+ dictio（宣告）组成，意为法律的宣告范围，即司法管辖权。,"1. The court has no jurisdiction over this case.（法院对该案没有管辖权。）
2. This matter falls within the jurisdiction of the local police.（此事属于当地警方的管辖范围。）
3. They expanded their jurisdiction to include international waters.（他们将管辖范围扩大到了国际水域。）"
22,justice,必考词 Unit 1,n. 公平，公正；审判，司法(制度)，法律制裁；法官,源自拉丁语 iustitia，词根 iustus（公正的），指符合法律和道德的公正。,"1. Justice must be served.（正义必须得到伸张。）
2. He is a man of justice and integrity.（他是一个公正廉洁的人。）
3. The social justice movement gained momentum.（社会正义运动获得了动力。）"
23,justify,必考词 Unit 1,vt. 证明……正当(或有理、正确),由 iustus（公正的）+ facere（做）组成，意为使某事显得公正或合理。,"1. How can you justify such high prices?（你如何证明如此高昂的价格是合理的？）
2. The results justify the effort.（结果证明这些努力是值得的。）
3. Nothing can justify his violent behavior.（没有什么能为他的暴力行为辩解。）"
24,label,必考词 Unit 1,"n. 标签，标记，标号
vt. 标签于；把……称为，把……归类为",源自古法语 label（饰带），引申为贴在物品上的标签。,"1. Check the label for washing instructions.（查看标签上的洗涤说明。）
2. Don't label people based on their appearance.（不要根据外表给别人贴标签。）
3. The product is labeled as organic.（该产品被标注为有机产品。）"
25,lag,必考词 Unit 1,v. 走得慢，落后，滞留；给(管道等)加保温层,词源不详，可联想为“拉格”，即落后、滞后。,"1. Economic growth began to lag behind.（经济增长开始滞后。）
2. There is a time lag between cause and effect.（因果之间存在时间差。）
3. He lagged behind the rest of the group.（他落在了团队其他人的后面。）"
26,largely,必考词 Unit 1,adv. 大量地，大规模地；主要地，基本上,由 large（大的）+ ly（副词后缀）组成，意为在很大程度上。,"1. The success was largely due to his hard work.（成功在很大程度上归功于他的努力。）
2. The problem is largely unsolved.（这个问题在很大程度上尚未解决。）
3. The audience was largely composed of students.（观众主要由学生组成。）"
27,lateral,必考词 Unit 1,adj. 侧面的，旁边的，横向的,源自拉丁语 latus（侧面），指侧面的、横向的。,"1. The company is considering lateral moves for employees.（公司正在考虑员工的横向调动。）
2. Lateral thinking can help solve complex problems.（横向思维有助于解决复杂问题。）
3. The injury caused lateral pain in his knee.（伤势导致他膝盖侧面疼痛。）"
28,latter,必考词 Unit 1,"adj. 后一半的，末了的
pron. 后者",源自古英语 lætra（较晚的），指两者中提到的后者。,"1. I prefer the latter option.（我更喜欢后一个选项。）
2. The former is expensive, but the latter is affordable.（前者很贵，但后者负担得起。）
3. In the latter half of the century, technology advanced rapidly.（在本世纪下半叶，技术进步迅速。）"
29,law,必考词 Unit 1,n. 法律，法令，法规；法则，规律，定律,源自古英语 lagu，意为被确立或固定的规则。,"1. Everyone is equal before the law.（法律面前人人平等。）
2. He is studying law at university.（他正在大学学习法律。）
3. The law prohibits smoking in public places.（法律禁止在公共场所吸烟。）"
30,lawsuit,必考词 Unit 1,n. 诉讼，起诉,由 law（法律）+ suit（请求/诉讼）组成，意为法律诉讼。,"1. They filed a lawsuit against the company.（他们对该公司提起了诉讼。）
2. The lawsuit was settled out of court.（该诉讼在庭外和解了。）
3. He won the lawsuit after years of litigation.（经过多年的诉讼，他赢得了官司。）"
31,magnitude,必考词 Unit 1,n. 巨大，广大；星等；震级；重大，重要性,源自拉丁语 magnitudo（大小），指规模、重要性或震级。,"1. They did not realize the magnitude of the problem.（他们没有意识到问题的严重性。）
2. The earthquake had a magnitude of 7.0.（地震震级为7.0级。）
3. The magnitude of the change was unexpected.（变化的规模出乎意料。）"
32,magnify,必考词 Unit 1,v. 放大，扩大；夸大，夸张,由 magnus（大的）+ facere（做）组成，意为使变大、放大。,"1. The lens magnifies small objects.（透镜可以放大微小物体。）
2. Don't magnify your mistakes.（不要夸大你的错误。）
3. The microscope magnifies the cells 1000 times.（显微镜将细胞放大了1000倍。）"
33,magnificent,必考词 Unit 1,adj. 壮观的，壮丽的，宏伟的,由 magnus（大的）+ facere（做）组成，意为做得宏伟的、壮丽的。,"1. The view from the mountain top was magnificent.（山顶的景色非常壮丽。）
2. She gave a magnificent performance.（她献上了一场精彩绝伦的表演。）
3. The palace is a magnificent building.（这座宫殿是一座宏伟的建筑。）"
34,maintain,必考词 Unit 1,vt. 维持，保持；维修，保养；赡养，供给；坚持，主张,由 manu（手）+ tenere（保持）组成，意为用手托住，引申为维持、坚持。,"1. It is hard to maintain a healthy lifestyle.（保持健康的生活方式很难。）
2. He maintains that he is innocent.（他坚持认为自己是无辜的。）
3. The road is well maintained.（这条路维护得很好。）"
35,maintenance,必考词 Unit 1,n. 状态、进程等的维持，保持；建筑物、机器、道路等的维修，保养；依法负担的生活费，赡养费,由 maintain 的名词形式演变而来，指维持、保养。,"1. The car needs regular maintenance.（这辆车需要定期保养。）
2. The cost of maintenance is very high.（维护成本非常高。）
3. He is responsible for the maintenance of the building.（他负责这栋建筑的维修工作。）"
36,major,必考词 Unit 1,"adj. 较大的，较重要的
n. 专业，主修；专业学生；少校
v. 主修，兼修法语",源自拉丁语 maior，意为更大的、主要的。,"1. This is a major breakthrough in science.（这是科学上的重大突破。）
2. He is a major player in the industry.（他是该行业的主要参与者。）
3. The major cause of the accident was fatigue.（事故的主要原因是疲劳。）"
37,majority,必考词 Unit 1,n. 多数，大多数；半数以上；票数差距，多得的票数；法定年龄；成年,源自 major（更大的），指数量上占优势的部分，即大多数。,"1. The majority of students passed the exam.（大多数学生通过了考试。）
2. He won by a large majority.（他以绝对多数票获胜。）
3. The majority opinion is against the plan.（多数人的意见反对该计划。）"
38,make,必考词 Unit 1,v. 做，制造；构成，组成；成为，使成为；强迫，迫使,源自古英语 macian，意为制造、建造。,"1. She made a cake for his birthday.（她为他的生日做了一个蛋糕。）
2. Don't make a noise.（不要制造噪音。）
3. He made a decision to quit his job.（他做出了辞职的决定。）"
39,theme,必考词 Unit 1,n. 演讲、文章或艺术作品等的主题，题目，中心思想,源自希腊语 thema，意为放置的东西，引申为文章或讨论的主题。,"1. The main theme of the book is love.（这本书的主题是爱。）
2. The party had a tropical theme.（聚会采用了热带主题。）
3. The theme song of the movie is very popular.（这部电影的主题曲非常受欢迎。）"
40,theory,必考词 Unit 1,n. 理论，原理；学说，见解，看法,源自希腊语 theoria，意为观察、思考，指对现象的系统解释。,"1. The theory has been proven by experiments.（该理论已通过实验证明。）
2. In theory, it sounds like a good idea.（理论上，这听起来是个好主意。）
3. He developed a new theory of evolution.（他提出了一种新的进化论。）"
41,theoretical,必考词 Unit 1,adj. 理论上的；假设的,源自 theory 的形容词形式，指理论上的。,"1. This is a theoretical problem, not a practical one.（这是一个理论问题，而不是实际问题。）
2. He has a strong theoretical background.（他有扎实的理论背景。）
3. The theoretical framework is well-structured.（该理论框架结构严谨。）"
42,therapy,必考词 Unit 1,n. 治疗法，理疗,源自希腊语 therapeia，意为治愈、护理。,"1. He is undergoing physical therapy.（他正在接受物理治疗。）
2. Art therapy can help reduce stress.（艺术疗法有助于减轻压力。）
3. The therapy was successful.（治疗很成功。）"
43,qualification,必考词 Unit 1,n. 资格，合格；限定，限制性条件；合格证,由 qualify（使具备资格）演变而来，指资格、资历。,"1. What are the qualifications for this job?（这份工作的任职资格是什么？）
2. She has all the necessary qualifications.（她具备所有必要的资格。）
3. He lacks the academic qualifications.（他缺乏学术资历。）"
44,qualify,必考词 Unit 1,v. 使具有资格，证明合格，使有权；限制，修饰,由 qualis（什么样的）+ facere（做）组成，意为使具备某种品质或资格。,"1. She qualified for the final round.（她获得了决赛资格。）
2. His experience qualifies him for the position.（他的经验使他有资格担任这个职位。）
3. Does this qualify as a mistake?（这算是一个错误吗？）"
45,quality,必考词 Unit 1,n. 质量，品级；性质；品德，品质；优质，上乘,源自拉丁语 qualitas，意为性质、品质。,"1. We focus on the quality of our products.（我们专注于产品的质量。）
2. Leadership is an important quality.（领导力是一种重要的品质。）
3. High quality education is essential.（高质量的教育至关重要。）"
